"";"birdlife_taxon_id";"birdlife_latin"
"1";22680683;"Jynx torquilla"
"2";22681076;"Dryobates minor"
"4";22681114;"Leiopicus medius"
"5";22681124;"Dendrocopos major"
"7";22681127;"Dendrocopos syriacus"
"8";22681382;"Dryocopus martius"
"10";22681474;"Picus vaillantii"
"12";22682655;"Upupa epops"
"13";22682860;"Coracias garrulus"
"14";22683027;"Alcedo atthis"
"15";22683740;"Merops persicus"
"16";22683756;"Merops apiaster"
"17";22683819;"Clamator glandarius"
"18";22683873;"Cuculus canorus"
"19";22686774;"Tachymarptis melba"
"20";22686800;"Apus apus"
"21";22686815;"Apus pallidus"
"22";22686856;"Apus affinis"
"23";22686882;"Apus caffer"
"24";22689875;"Caprimulgus ruficollis"
"25";22689887;"Caprimulgus europaeus"
"26";22689902;"Caprimulgus aegyptius"
"27";22690066;"Columba livia"
"28";22690088;"Columba oenas"
"29";22690103;"Columba palumbus"
"30";22690419;"Streptopelia turtur"
"31";22692983;"Pterocles alchata"
"32";22692994;"Pterocles senegallus"
"33";22693002;"Pterocles orientalis"
"34";22693005;"Pterocles coronatus"
"35";22693028;"Pterocles lichtensteinii"
"36";22697829;"Gavia stellata"
"37";22697834;"Gavia arctica"
"38";22697842;"Gavia immer"
"39";22697847;"Gavia adamsii"
"40";22705001;"Lanius collurio"
"41";22705038;"Lanius minor"
"42";22705095;"Lanius senator"
"43";22705099;"Lanius nubicus"
"44";22705775;"Perisoreus infaustus"
"45";22705916;"Pyrrhocorax pyrrhocorax"
"46";22705921;"Pyrrhocorax graculus"
"47";22705929;"Corvus monedula"
"48";22706064;"Corvus ruficollis"
"49";22706068;"Corvus corax"
"50";22707495;"Tchagra senegalus"
"51";22708146;"Bombycilla garrulus"
"52";22708156;"Cinclus cinclus"
"53";22708257;"Monticola saxatilis"
"54";22708286;"Monticola solitarius"
"55";22708768;"Turdus torquatus"
"56";22708816;"Turdus pilaris"
"57";22708819;"Turdus iliacus"
"58";22708822;"Turdus philomelos"
"59";22708829;"Turdus viscivorus"
"60";22709192;"Muscicapa striata"
"61";22709308;"Ficedula hypoleuca"
"62";22709315;"Ficedula albicollis"
"63";22709319;"Ficedula semitorquata"
"64";22709675;"Erithacus rubecula"
"65";22709691;"Luscinia luscinia"
"66";22709696;"Luscinia megarhynchos"
"67";22709707;"Luscinia svecica"
"68";22709936;"Cercotrichas galactotes"
"69";22710051;"Phoenicurus ochruros"
"70";22710055;"Phoenicurus phoenicurus"
"71";22710069;"Phoenicurus moussieri"
